"Data";"Ocorrência";"Freqüência";"Tensão R";"Corrente R";"Fat,Pot, R";"Tensão S";"Corrente S";"Fat,Pot, S";"Tensão T";"Corrente T";"Fat,Pot T"
"20/11/2018 11:49:29";"26";"59,8";"218,62";"100,27";"0,75";"218,39";"97,82";"0,89";"219,14";"98,22";"0,75"
"20/11/2018 11:50:10";"01";"60";"218,34";"328,75";"0,78";"217,45";"291,25";"0,9";"218,23";"329,75";"0,79"
"20/11/2018 11:50:20";"01";"59,8";"218,31";"280,25";"0,78";"217,39";"245,75";"0,9";"218,2";"282,25";"0,79"
"20/11/2018 11:50:30";"01";"60";"218,2";"284,75";"0,78";"217,25";"249,5";"0,9";"218,07";"286,5";"0,79"
"20/11/2018 11:50:40";"01";"59,8";"218,12";"286,5";"0,79";"217,23";"251";"0,9";"218";"288";"0,8"
"20/11/2018 11:50:50";"01";"60";"218,42";"277,75";"0,78";"217,35";"242,5";"0,9";"218,21";"279,75";"0,79"
"20/11/2018 11:51:00";"01";"60";"218,59";"270";"0,78";"217,42";"235,25";"0,9";"218,37";"272";"0,79"
"20/11/2018 11:51:10";"01";"59,8";"218,39";"270";"0,78";"217,32";"236";"0,9";"218,25";"272,5";"0,79"
"20/11/2018 11:51:20";"01";"59,8";"218,39";"270,5";"0,78";"217,37";"237";"0,9";"218,2";"272,75";"0,79"
"20/11/2018 11:51:30";"01";"59,8";"218,39";"270,75";"0,78";"217,37";"236,5";"0,9";"218,23";"273,25";"0,79"
"20/11/2018 11:51:40";"01";"59,8";"218,67";"262,75";"0,79";"217,89";"227,75";"0,9";"218,28";"264,75";"0,79"
"20/11/2018 11:51:50";"01";"60";"218,73";"259,75";"0,78";"218,06";"225";"0,9";"218,14";"261,5";"0,79"
"20/11/2018 11:52:00";"01";"59,3";"218,64";"259,25";"0,79";"218,06";"225";"0,9";"218,12";"261,25";"0,79"
"20/11/2018 11:52:10";"01";"60";"218,7";"259,25";"0,79";"218,1";"225";"0,9";"218,1";"260,75";"0,79"
"20/11/2018 11:52:20";"01";"59,8";"218,75";"258,75";"0,79";"218,17";"224,75";"0,9";"218,14";"260";"0,79"
"20/11/2018 11:52:30";"01";"60";"218,78";"258,5";"0,78";"218,23";"224,75";"0,9";"218,23";"259,75";"0,79"
"20/11/2018 11:52:41";"01";"60";"218,75";"256,75";"0,78";"218,17";"222,75";"0,9";"218,28";"258,75";"0,79"
"20/11/2018 11:52:50";"01";"59,8";"218,78";"256";"0,78";"218,17";"222,5";"0,9";"218,35";"258";"0,79"
"20/11/2018 11:53:00";"01";"60";"218,82";"256";"0,78";"218,25";"222";"0,9";"218,32";"257,25";"0,79"
"20/11/2018 11:53:10";"01";"59,8";"218,89";"255,75";"0,78";"218,17";"221,25";"0,9";"218,28";"257,25";"0,79"
"20/11/2018 11:53:20";"01";"59,8";"218,92";"255";"0,78";"218,2";"220,5";"0,9";"218,35";"256,75";"0,79"
"20/11/2018 11:53:30";"01";"59,8";"218,5";"264";"0,78";"217,39";"231";"0,9";"218,17";"267,25";"0,79"
"20/11/2018 11:53:40";"01";"59,8";"218,5";"265";"0,78";"217,56";"231,75";"0,9";"218,31";"266,5";"0,78"
"20/11/2018 11:53:50";"01";"59,8";"218,6";"258,25";"0,78";"217,96";"226,25";"0,9";"218,67";"258,25";"0,78"
"20/11/2018 11:54:00";"01";"59,3";"218,53";"256,75";"0,78";"217,96";"225,75";"0,9";"218,67";"257,25";"0,78"
"20/11/2018 11:54:10";"01";"59,8";"218,62";"249,5";"0,76";"218,17";"218,75";"0,89";"219";"248";"0,76"
"20/11/2018 11:54:20";"01";"59,8";"218,48";"244,25";"0,76";"218,32";"213,25";"0,89";"219,53";"238";"0,76"
"20/11/2018 11:54:30";"01";"60";"218,37";"243,5";"0,76";"218,45";"213,25";"0,89";"219,48";"237,25";"0,76"
"20/11/2018 11:54:40";"01";"59,8";"218,5";"243,75";"0,76";"218,39";"213";"0,89";"219,5";"237,5";"0,76"
"20/11/2018 11:54:50";"01";"60";"218,5";"243,5";"0,76";"218,42";"213";"0,89";"219,6";"238,25";"0,76"
"20/11/2018 11:55:00";"01";"59,8";"218,39";"244,75";"0,76";"218,28";"214,25";"0,89";"219,46";"239";"0,76"
"20/11/2018 11:55:10";"01";"59,8";"218,5";"246,25";"0,76";"218,23";"215";"0,89";"219,34";"239,75";"0,76"
"20/11/2018 11:55:20";"01";"59,8";"218,39";"246";"0,76";"218,14";"214,5";"0,89";"219,35";"240";"0,76"
"20/11/2018 11:55:30";"01";"60";"218,23";"246,5";"0,76";"218,1";"214,25";"0,89";"219,34";"240,5";"0,77"
"20/11/2018 11:55:40";"01";"60";"218,21";"246,75";"0,76";"218,1";"214,25";"0,89";"219,34";"240";"0,77"
"20/11/2018 11:55:50";"01";"60";"218,31";"244,75";"0,76";"218,2";"213";"0,89";"219,31";"238";"0,76"
"20/11/2018 11:56:00";"01";"60";"218,46";"241,5";"0,76";"218,35";"210,5";"0,89";"219,42";"234";"0,76"
"20/11/2018 11:56:10";"01";"60";"218,53";"241";"0,76";"218,37";"210,25";"0,89";"219,48";"233,5";"0,76"
"20/11/2018 11:56:20";"01";"60";"218,64";"240,5";"0,76";"218,59";"210,25";"0,89";"219,64";"233,25";"0,76"
"20/11/2018 11:56:30";"01";"60";"218,59";"233,25";"0,76";"218,89";"203,25";"0,89";"219,6";"226,75";"0,76"
"20/11/2018 11:56:40";"01";"59,3";"218,75";"229,75";"0,76";"219,17";"199";"0,89";"219,53";"222,75";"0,76"
"20/11/2018 11:56:50";"01";"59,8";"218,81";"230,25";"0,76";"219,14";"199,25";"0,89";"219,57";"223";"0,76"
"20/11/2018 11:57:00";"01";"60";"218,84";"230,75";"0,76";"219,03";"199,25";"0,89";"219,48";"223,5";"0,76"
"20/11/2018 11:57:10";"01";"59,8";"218,81";"231";"0,76";"219,03";"199,75";"0,89";"219,59";"224,25";"0,76"
"20/11/2018 11:57:20";"01";"59,8";"218,7";"231,25";"0,77";"218,89";"200,5";"0,89";"219,37";"224,5";"0,76"
"20/11/2018 11:57:30";"01";"59,8";"218,75";"231,75";"0,77";"218,89";"200,25";"0,89";"219,37";"224,5";"0,76"
"20/11/2018 11:57:40";"01";"59,8";"218,75";"231,75";"0,77";"219,06";"200,5";"0,89";"219,45";"224,5";"0,76"
"20/11/2018 11:57:50";"01";"59,8";"218,75";"231,75";"0,77";"219";"200,25";"0,89";"219,39";"224,75";"0,76"
"20/11/2018 11:58:00";"01";"59,8";"218,75";"231,75";"0,77";"219,07";"200,5";"0,89";"219,53";"225,25";"0,76"
"20/11/2018 11:58:10";"01";"59,8";"218,64";"231,75";"0,77";"219";"200,5";"0,89";"219,42";"225,25";"0,76"
"20/11/2018 11:58:20";"01";"59,8";"218,53";"242,75";"0,78";"218,48";"212";"0,9";"219,03";"240";"0,78"
"20/11/2018 11:58:30";"01";"59,8";"218,42";"267,75";"0,79";"217,5";"235,75";"0,9";"218,03";"270,5";"0,79"
"20/11/2018 11:58:40";"01";"59,8";"218,28";"272,5";"0,79";"217,42";"240";"0,91";"218";"275,25";"0,79"
"20/11/2018 11:58:50";"01";"60";"218,28";"273,25";"0,79";"217,42";"240,75";"0,91";"218";"275";"0,79"
"20/11/2018 11:59:00";"01";"59,8";"218,25";"272,25";"0,78";"217,48";"239,25";"0,9";"217,92";"273,25";"0,79"
"20/11/2018 11:59:10";"01";"59,8";"218,31";"265,75";"0,78";"217,46";"232,5";"0,9";"218,12";"266,75";"0,79"
"20/11/2018 11:59:20";"01";"60";"218,35";"266,5";"0,77";"217,5";"233";"0,9";"218,2";"267,5";"0,78"
"20/11/2018 11:59:30";"01";"59,8";"218,25";"268,5";"0,77";"217,46";"234,5";"0,9";"218,12";"269,5";"0,78"
"20/11/2018 11:59:40";"01";"59,8";"218,25";"268,75";"0,77";"217,42";"234";"0,9";"218";"269,25";"0,78"
"20/11/2018 11:59:50";"01";"59,8";"218,2";"268,25";"0,77";"217,25";"234,25";"0,9";"217,98";"269,75";"0,78"
"20/11/2018 12:00:00";"01";"60";"218,28";"268,5";"0,77";"217,28";"234,25";"0,9";"217,98";"270,5";"0,78"
"20/11/2018 12:00:10";"01";"60";"218,42";"268,75";"0,77";"217,31";"234";"0,9";"217,89";"272";"0,78"
"20/11/2018 12:00:20";"01";"59,8";"218,35";"268";"0,77";"217,25";"234,5";"0,9";"217,87";"272,5";"0,78"
"20/11/2018 12:00:30";"01";"60";"218,32";"266,75";"0,77";"217,35";"233,75";"0,9";"218,09";"270,25";"0,78"
"20/11/2018 12:00:40";"01";"60";"218,28";"266,75";"0,77";"217,39";"233,5";"0,9";"218,07";"269";"0,78"
"20/11/2018 12:00:51";"01";"59,8";"218,39";"267,25";"0,77";"217,28";"233";"0,9";"218,06";"269,25";"0,78"
"20/11/2018 12:01:01";"01";"60";"218,5";"264,5";"0,77";"217,42";"231,25";"0,89";"218,09";"266,25";"0,79"
"20/11/2018 12:01:11";"01";"59,8";"218,57";"262,75";"0,77";"217,53";"230,25";"0,9";"218,28";"264,75";"0,78"
"20/11/2018 12:01:20";"01";"58,5";"218,57";"262,25";"0,78";"217,71";"230,75";"0,9";"218,42";"264,75";"0,78"
"20/11/2018 12:01:30";"01";"60";"218,82";"253,5";"0,78";"218,25";"220,25";"0,9";"218,48";"256,5";"0,78"
"20/11/2018 12:01:40";"01";"60";"218,85";"255,25";"0,78";"218,25";"221,75";"0,9";"218,39";"257,75";"0,78"
"20/11/2018 12:01:50";"01";"59,8";"218,84";"255";"0,78";"218,17";"221,25";"0,9";"218,35";"258";"0,78"
"20/11/2018 12:02:00";"01";"59,8";"218,89";"255,5";"0,78";"218,28";"222";"0,9";"218,39";"258";"0,78"
"20/11/2018 12:02:10";"01";"60";"218,92";"254";"0,78";"218,25";"219,5";"0,9";"218,28";"256";"0,78"
"20/11/2018 12:02:20";"01";"59,8";"219";"250,5";"0,77";"218,28";"216,25";"0,89";"218,39";"252,75";"0,78"
"20/11/2018 12:02:30";"01";"59,8";"219,09";"241";"0,77";"218,78";"208,25";"0,89";"218,92";"240,25";"0,77"
"20/11/2018 12:02:40";"01";"59,8";"219,03";"240,5";"0,77";"218,73";"207,25";"0,89";"218,75";"239";"0,77"
"20/11/2018 12:02:50";"01";"59,8";"219,12";"240";"0,77";"218,6";"206,75";"0,89";"218,78";"239,5";"0,77"
"20/11/2018 12:03:00";"01";"59,8";"218,89";"238";"0,77";"218,73";"204,25";"0,9";"219,2";"233";"0,77"
"20/11/2018 12:03:10";"01";"59,8";"218,62";"236,75";"0,77";"218,75";"202,75";"0,9";"219,35";"229,75";"0,77"
"20/11/2018 12:03:20";"01";"59,8";"218,59";"242";"0,77";"218,42";"208,25";"0,9";"219,31";"234,75";"0,77"
"20/11/2018 12:03:30";"01";"60";"218,48";"251,25";"0,77";"218,31";"218,5";"0,9";"219,53";"245";"0,78"
"20/11/2018 12:03:40";"01";"59,8";"218,25";"254,75";"0,78";"218,14";"221,75";"0,9";"219,32";"248,25";"0,78"
