,Data,Tensão R,Corrente R,FP R,Tensão S,Corrente S,FP S,Tensão T,Corrente T,FP T,Pot R KVA,Pot S KVA,Pot T KVA,Pot R KW,Pot S KW,Pot T KW,Pot R KVAr,Pot S KVAr,Pot T KVAr,Pot R KVAr faltante,Pot S KVAr faltante,Pot T KVAr faltante
2879,2019-07-11 19:22:40,221.53,32.12,0.83,219.0,34.05,0.8,218.98,33.1,0.95,12.32448,12.91582,12.55432,10.22932,10.33265,11.9266,6.87415,7.74949,3.92008,2.04395,2.68754,-1.00018
2889,2019-07-11 19:26:00,221.5,23.75,0.94,218.81,25.52,0.91,218.81,26.52,1.0,9.11167,9.67183,10.05082,8.56497,8.80136,10.05082,3.10867,4.01002,0.0,-0.46236,0.21945,-3.9391
2890,2019-07-11 19:26:10,221.59,23.72,0.94,218.75,25.62,0.91,218.75,27.02,1.0,9.10386,9.70706,10.2375,8.55763,8.83343,10.2375,3.106,4.02463,0.0,-0.46197,0.22025,-4.01227
2891,2019-07-11 19:26:20,221.62,23.75,0.94,218.75,25.6,0.91,218.78,27.05,1.0,9.11661,9.69948,10.25027,8.56961,8.82653,10.25027,3.11035,4.02149,0.0,-0.46261,0.22008,-4.01727
2892,2019-07-11 19:26:30,221.5,23.7,0.94,218.73,25.6,0.91,218.7,27.05,1.0,9.09249,9.6986,10.24653,8.54694,8.82572,10.24653,3.10212,4.02112,0.0,-0.46139,0.22006,-4.0158
2893,2019-07-11 19:26:40,221.5,23.67,0.94,218.75,25.6,0.91,218.7,27.07,1.0,9.08098,9.69948,10.2541,8.53612,8.82653,10.2541,3.0982,4.02149,0.0,-0.4608,0.22008,-4.01877
2903,2019-07-11 19:29:10,222.2,24.75,0.96,219.5,26.47,0.91,219.39,25.97,1.0,9.52533,10.0635,9.86846,9.14431,9.15779,9.86846,2.66709,4.17241,0.0,-1.06606,0.22834,-3.86763
2904,2019-07-11 19:29:20,222.35,24.1,0.96,219.6,25.72,0.91,219.42,26.8,1.0,9.28143,9.78282,10.18525,8.91017,8.90236,10.18525,2.5988,4.05604,0.0,-1.03876,0.22197,-3.99179
2905,2019-07-11 19:29:30,222.42,24.15,0.96,219.62,25.72,0.91,219.42,26.77,1.0,9.30361,9.78371,10.17385,8.93147,8.90317,10.17385,2.60501,4.05641,0.0,-1.04125,0.22199,-3.98732
2906,2019-07-11 19:29:40,222.42,24.15,0.96,219.62,25.77,0.91,219.46,26.82,1.0,9.30361,9.80273,10.19471,8.93147,8.92048,10.19471,2.60501,4.06429,0.0,-1.04125,0.22242,-3.99549
2907,2019-07-11 19:29:50,222.37,24.1,0.96,219.7,25.85,0.91,219.56,26.82,1.0,9.28226,9.83674,10.19935,8.91097,8.95143,10.19935,2.59903,4.07839,0.0,-1.03886,0.22319,-3.99731
2908,2019-07-11 19:30:00,222.35,24.0,0.96,219.75,25.87,0.91,219.57,26.85,1.0,9.24292,9.84659,10.21123,8.8732,8.9604,10.21123,2.58802,4.08248,0.0,-1.03445,0.22342,-4.00197
2909,2019-07-11 19:30:10,222.37,24.02,0.96,219.78,25.8,0.91,219.6,26.92,1.0,9.25145,9.82129,10.23925,8.88139,8.93737,10.23925,2.59041,4.07199,0.0,-1.03541,0.22284,-4.01295
2910,2019-07-11 19:30:20,222.42,24.07,0.96,219.71,25.77,0.91,219.59,26.92,1.0,9.27279,9.80674,10.23878,8.90188,8.92414,10.23878,2.59638,4.06596,0.0,-1.0378,0.22251,-4.01277
3316,2019-07-11 21:18:00,223.45,31.42,0.59,220.62,32.32,0.63,220.59,34.32,0.79,12.16038,12.35028,13.11275,7.17462,7.78068,10.35907,9.81833,9.59117,8.03952,5.05245,4.75087,2.90039
3317,2019-07-11 21:18:10,223.73,21.0,0.71,221.0,22.87,0.74,221.0,23.17,0.88,8.13775,8.75425,8.86909,5.7778,6.47815,7.8048,5.73061,5.88817,4.21258,2.54128,2.45722,0.73662
3318,2019-07-11 21:18:20,224.03,20.45,0.71,221.31,23.35,0.74,221.25,22.47,0.87,7.93524,8.95053,8.61087,5.63402,6.62339,7.49146,5.58801,6.02019,4.2456,2.47804,2.51231,0.87085
3319,2019-07-11 21:18:30,224.12,20.42,0.71,221.25,23.32,0.74,221.23,22.5,0.87,7.92678,8.9366,8.62159,5.62802,6.61309,7.50078,5.58205,6.01082,4.25089,2.4754,2.5084,0.87193
3320,2019-07-11 21:18:40,224.09,20.4,0.71,221.21,23.3,0.74,221.28,22.47,0.87,7.91796,8.92732,8.61204,5.62175,6.60622,7.49247,5.57584,6.00458,4.24618,2.47265,2.5058,0.87096
3324,2019-07-11 21:20:20,224.2,15.17,0.88,221.53,18.85,0.85,221.53,18.7,0.96,5.8909,7.23277,7.17521,5.18399,6.14785,6.8882,2.79802,3.8101,2.00906,0.48927,0.97544,-0.80304
3325,2019-07-11 21:20:30,224.21,14.1,0.88,221.59,17.92,0.85,221.62,17.97,0.96,5.47564,6.87779,6.89791,4.81856,5.84612,6.622,2.60078,3.6231,1.93142,0.45478,0.92757,-0.772
3326,2019-07-11 21:20:40,224.12,14.07,0.88,221.42,17.92,0.85,221.45,18.1,0.96,5.46179,6.87251,6.94248,4.80638,5.84163,6.66478,2.59421,3.62032,1.9439,0.45363,0.92686,-0.77699
3327,2019-07-11 21:20:50,223.82,12.0,0.93,221.12,17.65,1.09,221.17,19.6,1.0,4.65201,6.75979,7.50832,4.32637,-6.15141,7.50832,1.70989,2.80267,0.0,-0.11332,0.15338,-2.94265
3328,2019-07-11 21:21:00,223.7,5.87,0.93,220.82,16.8,1.09,221.0,24.37,1.0,2.27439,6.42552,9.32843,2.11518,-5.84722,9.32843,0.83597,2.66407,0.0,-0.0554,0.14579,-3.65598
3329,2019-07-11 21:21:10,223.71,5.85,0.93,220.84,16.8,1.09,221.03,24.37,1.0,2.26674,6.4261,9.32969,2.10807,-5.84775,9.32969,0.83316,2.66432,0.0,-0.05522,0.14581,-3.65648
3330,2019-07-11 21:21:20,223.75,5.87,0.92,220.78,16.8,1.09,221.0,24.37,1.0,2.2749,6.42436,9.32843,2.09291,-5.84616,9.32843,0.89157,2.66359,0.0,0.0,0.14577,-3.65598
3331,2019-07-11 21:21:30,223.71,5.87,0.93,220.71,16.8,1.09,220.89,24.37,1.0,2.27449,6.42232,9.32378,2.11528,-5.84431,9.32378,0.83601,2.66275,0.0,-0.0554,0.14572,-3.65416
3332,2019-07-11 21:21:40,223.78,5.9,0.93,220.78,16.77,1.09,221.0,24.4,1.0,2.28683,6.41288,9.33991,2.12675,-5.83572,9.33991,0.84055,2.65883,0.0,-0.0557,0.14551,-3.66048
3333,2019-07-11 21:21:50,223.73,5.87,0.92,220.75,16.77,1.09,220.98,24.37,1.0,2.27469,6.41201,9.32758,2.09272,-5.83493,9.32758,0.89149,2.65847,0.0,0.0,0.14549,-3.65565
3334,2019-07-11 21:22:00,223.73,5.87,0.93,220.75,16.77,1.09,221.0,24.35,1.0,2.27469,6.41201,9.32077,2.11547,-5.83493,9.32077,0.83609,2.65847,0.0,-0.05541,0.14549,-3.65298
3335,2019-07-11 21:22:10,223.53,5.87,0.93,220.5,16.8,1.09,220.71,24.35,1.0,2.27266,6.41621,9.30854,2.11357,-5.83875,9.30854,0.83534,2.66021,0.0,-0.05536,0.14558,-3.64819
3336,2019-07-11 21:22:20,223.48,5.9,0.93,220.39,16.8,1.09,220.56,24.35,1.0,2.28376,6.41301,9.30221,2.1239,-5.83584,9.30221,0.83942,2.65889,0.0,-0.05563,0.14551,-3.64571
3337,2019-07-11 21:22:30,223.5,5.87,0.93,220.5,16.8,1.09,220.57,24.35,1.0,2.27236,6.41621,9.30264,2.11329,-5.83875,9.30264,0.83523,2.66021,0.0,-0.05535,0.14558,-3.64587
3338,2019-07-11 21:22:40,223.48,5.87,0.93,220.53,16.8,1.09,220.64,24.35,1.0,2.27215,6.41708,9.30559,2.1131,-5.83954,9.30559,0.83515,2.66058,0.0,-0.05535,0.1456,-3.64703
3339,2019-07-11 21:22:50,223.42,5.87,0.92,220.46,16.8,1.09,220.6,24.35,1.0,2.27154,6.41505,9.3039,2.08982,-5.83769,9.3039,0.89026,2.65973,0.0,0.0,0.14556,-3.64637
3340,2019-07-11 21:23:00,223.42,5.87,0.92,220.5,16.8,1.09,220.59,24.35,1.0,2.27154,6.41621,9.30348,2.08982,-5.83875,9.30348,0.89026,2.66021,0.0,0.0,0.14558,-3.6462
